,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f534,-0.649549302,-0.463257089,-0.419358528,-0.721483919,-0.951543297,-0.475061744,-0.973426213,-0.839009288,-0.61634871,-0.944084811
f535,-0.509737918,-0.506786754,-0.442967838,-1,-0.997241817,-0.443336733,-0.990360566,-0.955456904,-1,-0.956675895
f536,-1,-1,-1,-1,-0.423399558,-1,-0.800441501,-0.692715232,-1,-0.838410596
f537,-1,-1,-1,-1,-0.951990562,-1,-0.979174967,-0.976501413,-1,-0.985269858
f538,-1,-1,-1,-1,-0.536331184,-1,-0.792631993,-0.845947666,-1,-0.791959306
f539,-0.647619048,-1,-1,-1,-0.983563773,-1,-0.983888366,-0.989235616,-1,-0.984703036
f540,-0.940358981,-0.922612536,-0.922612536,-1,-0.585798817,-0.939953811,0.230769231,0.230769231,-0.947733074,0.230769231
f541,-0.934362465,-0.922612536,-0.922612536,-1,-1,-0.939953811,0.111111111,0.111111111,-0.947733074,0.111111111
f542,-0.140740741,-0.392592593,-0.392592593,-0.940740741,-0.925925926,-0.466666667,-0.185185185,-0.185185185,-0.318518519,-0.185185185
f543,-0.698113208,-0.603773585,-0.603773585,-1,-0.941176471,-0.830188679,-0.176470588,-0.176470588,-1,-0.176470588
f544,-0.089430894,0.024390244,0.024390244,0.300813008,-0.730496454,-0.097560976,0.085106383,0.085106383,0.178861789,0.085106383
f545,-1,-1,-1,-1,-0.421511096,-1,-0.918900801,-0.479646513,-0.955555556,-0.521235691
f546,-0.044776119,0.097014925,0.097014925,0.194029851,-0.97587,-0.104477612,0.343021053,-0.977585193,0.089552239,-0.981174098
f547,-0.987206148,-0.98623267,-0.98623267,-1,-0.99110999,-0.993731163,0.168627499,-0.990112118,-1,-0.991187271
f548,-0.140324478,0.008946404,0.008946404,0.685316407,-0.569057789,-0.159804109,-0.694036631,-0.448870651,0.018139039,-0.63267046
f549,-0.993242507,-1,-1,-1,-0.145488688,-1,-0.75735519,0.003034245,-0.986920981,-0.35156536
f550,-1,-1,-1,-1,0.095046985,-1,-0.274935594,0.18787522,-1,0.257587547
f551,-1,-1,-1,-1,-0.148106238,-1,-0.68101122,0.237727983,-1,-0.081495117
f552,-1,-1,-1,-1,0.030401184,-1,-0.354672666,0.194624323,-1,0.188959724
f553,-0.721488253,-1,-1,-1,-0.239378344,-1,-0.537411355,0.403128142,-1,-0.060399881
f554,-0.121389254,0.120707292,0.120707292,0.500316625,-0.749450064,-0.150713625,-0.852736318,-0.78742743,-0.09070096,-0.698259584
f555,-0.030651341,0.11581551,0.11581551,0.493767884,-0.689255222,-0.15442068,-0.682927423,-0.672842719,-0.094669965,-0.671847818
f556,1,1,1,-1,-0.550313025,1,-0.479352267,-0.59113385,-1,-0.780722382
f557,-1,-1,-1,-0.890625,-0.602465281,-1,-0.400942735,-0.582729817,-0.296875,-0.777069139
f558,-1,-1,-1,-1,-0.92983588,-1,-0.033798107,-0.85210805,-1,-0.886895519
