,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f945,-0.464630451,-1,-0.833343152,-0.152402104,-0.158507158,-0.726124739,-0.626947062,-0.013011524,-0.230017918,-1,-0.825963375,-0.838221143,0.252661031,-0.817655551,0.230810227,-0.62504157,0.767724171,-0.942915513,0.252661031,-0.258200936,-0.974448209,-0.834123445
f946,-0.45253626,-0.830188679,-0.829578313,-0.136254421,-0.518867925,-0.877358491,-0.638005036,0.006310169,-0.245314592,0.179245283,-0.830188679,-0.773584906,-0.113207547,-0.813536324,-0.075471698,-0.616571123,-0.226415094,-0.58490566,-0.20754717,-0.263175607,-0.977309013,-0.832672881
f947,-1,-0.825418363,-1,-1,-0.659882406,-0.803708729,-1,-1,-0.562851254,-0.436454093,-0.838082316,-0.899592944,-0.329715061,-1,-0.335142469,-1,-0.113523293,-0.622795115,-0.318860244,-1,-1,-1
f948,-1,-0.617577197,-1,-1,-0.662707838,-0.610451306,-1,-1,-1,-0.102137767,-0.686460808,-0.762470309,0.942992874,-1,0.790973872,-1,0.268408551,-0.496437055,0.902612827,-1,-1,-1
f949,-1,-0.685393258,-1,-1,-0.123595506,-0.707865169,-0.1805093,-1,-1,0.775280899,-0.797752809,-0.775280899,0.483146067,-1,0.483146067,-1,0.505617978,-0.93258427,0.483146067,-0.08601607,-0.855407857,-0.903410598
f950,-1,-0.768210551,-1,0.937591648,-0.733565736,-0.707885721,-1,0.921362664,0.944785762,-0.517928795,-0.802434355,-0.80631887,0.304673922,-1,0.253547746,-1,-0.036145139,-0.554209062,0.267220982,-1,-1,-1
f951,-0.161926975,-0.825359909,-0.746927968,-0.653011872,-0.780625569,-0.765357133,-0.431078476,-0.739250367,-0.697439812,-0.65950086,-0.883346913,-0.869151161,0.278967159,-0.603044007,0.262682322,-0.397770493,-0.30998564,-0.7973121,0.255421507,-0.73156301,-0.377175302,-0.288739878
f952,-0.161926975,-0.556893104,-0.746927968,-0.653011872,-0.493943812,-0.469957824,-0.431078476,-0.739250367,-0.726958618,-0.171823234,-0.795025565,-0.770720931,0.657703506,-0.603044007,0.446344085,-0.40039917,0.250433211,-0.673218711,0.462541863,-0.73156301,-0.441737282,-0.288739878
f953,-1,-0.717280484,-1,-1,-0.749430489,-0.657042029,-1,-1,-0.906818344,-0.487339687,-0.843350967,-0.805098244,0.538890432,-1,0.314579648,-1,-0.077525058,-0.71881972,0.48055441,-1,-0.796197972,-1
f954,-1,-0.720850976,-1,-1,-0.880508132,-0.656593362,-1,-1,-1,-0.36420354,-0.924449401,-0.854031223,0.405080924,-1,-0.031600501,-1,-0.12088777,-0.646274823,0.231431235,-1,-1,-1
